Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;LONGITUD;LATITUD;DIRECCION
127;439915,53;4476159,48;42186;07  CHAMBERÍ;07-02 ARAPILES;FERNANDO EL CATOLICO, CALLE, DE;19;BiciMAD;24;-3.7083987;40.433908;FERNANDO EL CATOLICO, CALLE, DE,19
128;439310,29;4476734,2;42186;07  CHAMBERÍ;07-01 GAZTAMBIDE;CEA BERMUDEZ, CALLE, DE;59;BiciMAD;24;-3.7155889;40.4390413;CEA BERMUDEZ, CALLE, DE,59
129;440776,2;4476658,18;42186;07  CHAMBERÍ;07-05 RÍOS ROSAS;JOSE ABASCAL, CALLE, DE;33;BiciMAD;24;-3.6982986;40.4384622;JOSE ABASCAL, CALLE, DE,33
130;440485,91;4477025,58;42907;07  CHAMBERÍ;07-05 RÍOS ROSAS;SANTA ENGRACIA, CALLE, DE;129;BiciMAD;18;-3.7017555;40.4417512;SANTA ENGRACIA, CALLE, DE,129
131;440293,58;4477026,74;42186;07  CHAMBERÍ;07-05 RÍOS ROSAS;BRAVO MURILLO, CALLE, DE;44;BiciMAD;24;-3.7040233;40.4417479;BRAVO MURILLO, CALLE, DE,44
132;440334,34;4477541,61;42186;07  CHAMBERÍ;07-05 RÍOS ROSAS;SANTA ENGRACIA, CALLE, DE;168;BiciMAD;24;-3.7035911;40.4463889;SANTA ENGRACIA, CALLE, DE,168
133;440637,08;4477625,61;42186;06  TETUÁN;06-02 CUATRO CAMINOS;DULCINEA, CALLE, DE;3;BiciMAD;24;-3.7000292;40.4471673;DULCINEA, CALLE, DE,3
134;441017,64;4477274,53;42186;07  CHAMBERÍ;07-05 RÍOS ROSAS;MARIA DE GUZMAN, CALLE, DE;58;BiciMAD;24;-3.6955092;40.4440317;MARIA DE GUZMAN, CALLE, DE,58
135;441237,58;4476989,99;42095;07  CHAMBERÍ;07-05 RÍOS ROSAS;SAN JUAN DE LA CRUZ, PLAZA, DE;S/N;BiciMAD;24;-3.6928896;40.441484;SAN JUAN DE LA CRUZ, PLAZA, DE,S/N
136;441417,02;4477410,33;42186;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;106;BiciMAD;24;-3.6908127;40.4452833;CASTELLANA, PASEO, DE LA,106
137;441885,33;4477430,27;42186;05  CHAMARTÍN;05-01 EL VISO;REPUBLICA ARGENTINA, PLAZA, DE LA;6;BiciMAD;24;-3.6852925;40.4454958;REPUBLICA ARGENTINA, PLAZA, DE LA,6
138;441352,15;4477455,81;42186;07  CHAMBERÍ;07-05 RÍOS ROSAS;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-3.6915818;40.4456884;CASTELLANA, PASEO, DE LA,S/N
139;441442,67;4476752,13;42186;05  CHAMARTÍN;05-01 EL VISO;JOSE GUTIERREZ ABASCAL, CALLE, DE;S/N;BiciMAD;24;-3.6904495;40.4393558;JOSE GUTIERREZ ABASCAL, CALLE, DE,S/N
140;442081,57;4476664,17;42186;05  CHAMARTÍN;05-01 EL VISO;VELAZQUEZ, CALLE, DE;134;BiciMAD;24;-3.6829088;40.4386081;VELAZQUEZ, CALLE, DE,134
141;441537,59;4476315,08;42186;07  CHAMBERÍ;07-04 ALMAGRO;CASTELLANA, PASEO, DE LA;43;BiciMAD;24;-3.6892902;40.4354253;CASTELLANA, PASEO, DE LA,43
142;441641,97;4476103,45;42186;04  SALAMANCA;04-06 CASTELLANA;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-3.6880402;40.4335262;CASTELLANA, PASEO, DE LA,S/N
143;442474,52;4476217,99;42186;04  SALAMANCA;04-05 LISTA;DIEGO DE LEON, CALLE, DE;54;BiciMAD;24;-3.6782355;40.434616;DIEGO DE LEON, CALLE, DE,54
144;442707,74;4475961,24;42175;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;50;BiciMAD;24;-3.6754628;40.4323192;JUAN BRAVO, CALLE, DE,50
145;443050,11;4475675,85;42186;04  SALAMANCA;04-05 LISTA;JOSE ORTEGA Y GASSET, CALLE, DE;87;BiciMAD;24;-3.671401;40.4297717;JOSE ORTEGA Y GASSET, CALLE, DE,87
146;442434,99;4477286,31;42175;05  CHAMARTÍN;05-01 EL VISO;MARIA FRANCISCA, CALLE, DE;1;BiciMAD;24;-3.6787983;40.4442372;MARIA FRANCISCA, CALLE, DE,1
147;442372,1;4477741,71;42186;05  CHAMARTÍN;05-01 EL VISO;DOCTOR ARCE, AVENIDA, DEL;45;BiciMAD;24;-3.6795811;40.4483353;DOCTOR ARCE, AVENIDA, DEL,45
148;442194,62;4478041,41;42186;05  CHAMARTÍN;05-01 EL VISO;SERRANO, CALLE, DE;210;BiciMAD;24;-3.6817012;40.4510228;SERRANO, CALLE, DE,210
149;441672,37;4477914,72;42186;05  CHAMARTÍN;05-01 EL VISO;LA HABANA, PASEO, DE;42;BiciMAD;24;-3.6878481;40.449845;LA HABANA, PASEO, DE,42
